external_id,embedding_row,UMAP_1,UMAP_2,Ana_Konu,main_level_2_predictions,leaf_predictions,true_subjects,title,doi,language
1441999,19888,2.6017454,3.1204965,Fen > Tıp,Fen > Tıp,Tıbbi Araştırmalar Deneysel || Biyokimya ve Moleküler Biyoloji,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,Glutathione Reductase: Purification and Characterization from Quail Liver,10.17776/csj.1758754,ENG
1385595,11036,8.942107,7.036376,Sosyal > Sosyal,Sosyal > Sosyal,Tarih || Edebiyat,Sosyal > Sosyal > Ortaçağ ve Rönesans Çalışmaları || Sosyal > Sosyal > Tarih,"THOMAS BAUER, NEDEN İSLAM'IN ORTA ÇAĞI YOKTU - ANTİK ÇAĞ'IN MİRASI VE DOĞU",,TUR
1391932,12749,6.0473847,2.3454287,Fen > Tıp,Fen > Tıp,Genel ve Dahili Tıp || Psikiyatri,Fen > Tıp > Klinik Nöroloji || Fen > Tıp > Psikiyatri,Multipl Sklerozda İnsomnia Prevalansı ve Etkisi,10.4274/jtsm.galenos.2025.48569,TUR
1299252,2705,5.098215,8.829583,Fen > Mühendislik,Fen > Mühendislik || Sosyal > Sosyal,"Bilgisayar Bilimleri, Bilgi Sistemleri || İşletme","Fen > Mühendislik > Bilgisayar Bilimleri, Sibernitik || Fen > Mühendislik > Bilgisayar Bilimleri, Yazılım Mühendisliği",CYBER INFRASTRUCTURE GUIDE: IT/OT INTEGRATION,10.25287/ohuiibf.1558269,ENG
1402593,17295,7.9466815,7.8152056,Sosyal > Sosyal,Sosyal > Sosyal,Tarih || Sosyoloji,Sosyal > Sosyal > Nüfus İstatistikleri Bilimi || Sosyal > Sosyal > Tarih,Ordu’da Protestan Cemaati Nüfus Hareketliliği,10.24186/vakanuvis.1795017,TUR
1439499,19784,9.04322,7.4443636,Sosyal > Sosyal,Sosyal > Sosyal,Dil ve Dil Bilim,Sosyal > Sosyal > Din Bilimi || Sosyal > Sosyal > Edebiyat || Sosyal > Sosyal > Ortaçağ ve Rönesans Çalışmaları || Sosyal > Sosyal > Tarih,Baykuş ve Tevekkül: Geç Ortaçağ Anadolu’sunda Kıssa Yoluyla Dinî Telkin,10.48120/oad.1761583,TUR
1386449,11246,3.3937836,9.173353,Fen > Mühendislik,Fen > Mühendislik || Fen > Temel Bilimler,"Mühendislik, Hava ve Uzay || Mühendislik, Elektrik ve Elektronik || Fizik, Akışkanlar ve Plazma","Fen > Mühendislik > Mühendislik, Elektrik ve Elektronik || Fen > Mühendislik > Robotik",Flight control of a 3DOF quadrotor hover by state feedback with integral action,10.59313/jsr-a.1798667,ENG
1388080,11691,3.084733,2.088476,Fen > Tıp,Fen > Tıp,Kadın Hastalıkları ve Doğum || Androloji,Fen > Tıp > Hücre Biyolojisi || Fen > Tıp > Kadın Hastalıkları ve Doğum || Fen > Tıp > Patoloji,Endometrial poliplerde CD56 gen ekspresyonu ve uNK hücre oranının moleküler ve immünohistokimyasal olarak değerlendirmesi,10.17826/cumj.1716574,TUR
1359247,6547,2.6384993,3.0300393,Fen > Tıp,Fen > Tıp || Fen > Veterinerlik,Androloji || Veterinerlik,Fen > Tıp > Androloji,The Effects of Boron on Sperm Qualities and Testicular Histopathology in Animal Studies: A Systematic Review,10.4274/jus.galenos.2025.2024-9-7,ENG
1396403,14623,2.7813687,4.160789,Fen > Temel Bilimler,Fen > Temel Bilimler || Fen > Veterinerlik,Spektroskopi || Veterinerlik,Fen > Veterinerlik > Veterinerlik || Fen > Ziraat > Ziraat Mühendisliği,"Determination of Genotype, Housing System and Age Effect on Egg Production and Quality Traits of Layers",10.34233/jpr.1683955,ENG
