external_id,baslik,mevcut_kategori,oneri_kategori,primary_error,secondary_error,is_boundary_case,boundary_competing_class,boundary_rationale,Manuel_Gerekce
1436146,BİLGİ KURAMI BAĞLAMINDA KEHANET İLETİŞİMİ VE ASTROLOJİNİN SOSYAL MEDYADA YER ALIŞ BİÇİMLERİ,İletişim,Astronomi ve Astrofizik,Keyword / surface-form trap,,False,,,"Sosyal medyada astroloji hesaplarının içerik ve iletişim analizi yapılmıştır; ""gezegen/astroloji"" kelimeleri modeli Astronomiye yanıltmıştır (Mevcut İletişim etiketi doğrudur)."
1406530,AMBALAJ TASARIMINDA KARTON MAKET YAPIMININ ROLÜ VE BİR UYGULAMA,Sanat,"Malzeme Bilimleri, Kâğıt ve Ahşap",Object/material -> discipline confusion,Keyword / surface-form trap,True,Keyword / surface-form trap,Ambalaj tasarımındaki karton malzeme hem fiziksel prototip materyali hem de 'karton/kağıt' kelime tuzağıdır.,"Ambalaj tasarımında karton maket prototipleme ve estetik-işlevsellik incelemesidir; ""karton/kâğıt"" kelimeleri modeli hatalı şekilde Kâğıt Malzeme Bilimleri alanına yanıltmıştır (Grafik Tasarım/Sanat konusudur)."
1339723,Comparison of the Sensitive Volume Response of the Three Different Cylindrical Ionization Chambers with GEANT4 Simulations Using the Concept of Output Factor,"Biyofizik, Onkoloji","Malzeme Bilimleri, Özellik ve Test",Method -> discipline confusion,,False,,,"Radyoterapide (TrueBeam STx) kullanılan farklı iyon odası dedektörlerinin dozimetrik yanıtlarının ve çıktı faktörlerinin GEANT4 Monte Carlo simülasyonu ile doğrulanmasıdır (Tıbbi Radyasyon Fiziği ve Radyasyon Onkolojisi); modelin 'Malzeme Bilimleri, Özellik ve Test' önerisi iyon odası ölçüm/kalibrasyon ifadelerinden kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Biyofizik, Onkoloji' etiketleri tam ve doğrudur."
1406146,TÜRK HALK KÜLTÜRÜNDE DOĞUM ÂDETLERİ BAĞLAMINDA DÜŞÜKTEN KORUNMA YÖNTEMLERİ: RİZE YÖRESİ SAHA ARAŞTIRMASI,Folklor,Kadın Hastalıkları ve Doğum,Keyword / surface-form trap,,True,Context/domain transfer,"Doğum âdeti, doğum izni veya bebek beslenmesi sosyal yaşam bağlamıdır; ancak 'doğum/bebek' kelimesi tek başına tıp branşını tetikleyen sözcük tuzağıdır.","Rize yöresinde doğum âdetleri, düşükten korunma pratikleri (türbe ziyareti, dua, nazar, bele ip bağlama) ve eski Türk inançlarının saha derlemesiyle incelendiği bir halk bilimi (folklor) araştırmasıdır; çalışmada klinik obstetrik/jinekoloji bulunmayıp modelin 'Kadın Hastalıkları ve Doğum' (Tıp) önerisi başlıktaki ve özetteki 'doğum/düşük' kelimelerinden kaynaklanan bariz bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut 'Folklor' etiketi tam ve doğrudur."
1397945,M1 POLARİZE MAKROFAJ FARKLILAŞMASINDA GÜNCEL TEKNİKLER: KAVRAMSAL ÇERÇEVE ENTEGRASYONU İLE KARŞILAŞTIRMALI DENEYSEL ÇALIŞMA,"Hücre Biyolojisi, İmmünoloji",Mikroskopi,Method -> discipline confusion,,False,,,"U937 monositik hücre hattının PMA, LPS ve IFN-gama indüksiyonu ile M1 polarize makrofajlara farklılaşma protokollerinin karşılaştırıldığı ve CD68/CD206 yüzey belirteçlerinin akım sitometrisi (flow cytometry) ile fenotipik olarak analiz edildiği doğrudan bir hücresel immünoloji ve hücre biyolojisi araştırmasıdır; çalışmada mikroskopi geliştirme veya optik enstrümantasyon bulunmayıp modelin 'Mikroskopi' önerisi bir analiz aracı model yanılgısıdır (FP-1). Mevcut 'Hücre Biyolojisi, İmmünoloji' kategorizasyonu tam, eksiksiz ve %100 doğrudur."
1433874,"Kuzu Pnömonilerinde Respiratorik Sinsityal Virus (Rsv) İle Parainfluenza Tip 3 Virus (Pi3v) Koenfeksiyonlarının Tespiti Ve Cd3+, Cd4+, Cd8+, Cd19+ Lenfositlerin İmmunopatogenezde Rolleri",Veterinerlik,Enfeksiyon Hastalıkları,Cross-domain transfer,Keyword / surface-form trap,False,,,"Kuzularda (4-12 aylık 100 kuzu akciğeri) RSV ve PI3V viral pnömoni koenfeksiyonlarının PCR, immünohistokimya (IHC) ve histopatoloji (HE) ile tespiti ve CD3+, CD4+, CD8+, CD19+ lenfosit alt gruplarının immünopatogenezdeki rollerinin incelendiği doğrudan bir veteriner patoloji, veteriner viroloji ve veteriner immünoloji araştırmasıdır; çalışmada beşeri/insan klinik tıp verisi bulunmayıp modelin 'Enfeksiyon Hastalıkları' (Tıp) önerisi beşeri tıp alanından kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Veterinerlik' ana disiplini tam, eksiksiz ve %100 doğrudur (k-NN yerel uzlaşısı da %40 Viroloji yönündedir)."
1227997,CAPS-SSR Markırları Kullanılarak Pamuk Kromozom Subsitüsyon Hatlarının Belirlenmesi,"Biyoloji, Genetik ve Kalıtım, Paleontoloji, Bitki Bilimleri","Malzeme Bilimleri, Tekstil",Object/material -> discipline confusion,Context/domain transfer,True,Context/domain transfer,Bitki ıslahı makalesinin girişinde pamuk/tekstil sektörel bağlamından bahsedilmektedir.,"Pamukta (Gossypium L.) moleküler sitogenetik, kromozom sübstitüsyon hatları ve CAPS-SSR DNA markırları ile bitki ıslahı çalışmasıdır; modelin 'Malzeme Bilimleri, Tekstil' önerisi giriş cümlesindeki genel pamuk/tekstil sektörü ifadelerinden kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Biyoloji, Genetik ve Kalıtım, Bitki Bilimleri' etiketleri doğru olup veri tabanındaki alakasız 'Paleontoloji' etiketi veri giriş hatasıdır."
1405627,Farklı Üretim Yöntemleri ve Anodizasyon Parametrelerinin Rezin Siman-Titanyum Bağlantısına Etkisi: Bir in Vitro Çalışma,Diş Hekimliği,Metalürji Mühendisliği,Object/material -> discipline confusion,,False,,,"Protetik diş tedavisinde kullanılan titanyum materyallerin farklı üretim yöntemleri (frezeleme vs. selektif lazer eritme) ve yüzey modifikasyonlarının (alümina kumlama, fosforik asit anodizasyonu) termal siklus sonrasında rezin siman bağlanma dayanımı ve klinik tutuculuğu üzerindeki etkilerinin incelendiği doğrudan bir protetik diş tedavisi ve dental materyal araştırmasıdır; çalışmada genel metalürji mühendisliği prosesi bulunmayıp dental protez simantasyon performansı test edilmiştir. Modelin 'Metalürji Mühendisliği' önerisi dental protetik altyapı işlemlerini metalürji sanan bir model yanılgısıdır (FP-1). Mevcut 'Diş Hekimliği' ana disiplini tam, eksiksiz ve doğrudur."
1348124,Tomruk Çarpmasına Bağlı Ölümler: Bir Otopsi Çalışması: Retrospektif Çalışma,"Adli Tıp, Temel Sağlık Hizmetleri",Orman Mühendisliği,Context/domain transfer,Object/material -> discipline confusion,True,Object/material -> discipline confusion,Orman iş kazası bir sektörel bağlamdır; tomruk ise kazaya yol açan fiziksel nesnedir.,"Ormancılık sektöründe tomruk çarpmasına bağlı ölüm olgularının Adli Tıp Kurumu otopsi kayıtları üzerinden künt travma ve ölüm nedenleri açısından incelendiği adli tıp ve iş sağlığı araştırmasıdır; travmanın orman iş kazası kaynaklı olması çalışmayı mühendislik yapmaz, modelin 'Orman Mühendisliği' önerisi sektörel bağlamdan kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Adli Tıp, Temel Sağlık Hizmetleri' etiketleri tam ve doğrudur."
1403660,Kendinden Asitli Primer ve Hidroflorik Asidin Kombine Uygulamasının Rezin Siman ve Polimer İnfiltre Seramik Ağ Materyali Arasındaki Mikrogerilim Bağlanma Dayanımına Etkisi,Diş Hekimliği,Polimer Bilimi,Object/material -> discipline confusion,Keyword / surface-form trap,False,,,"Restoratif/protetik diş hekimliğinde kullanılan hibrit polimer infiltre seramik ağ (PICN) materyali ile rezin siman arasındaki mikrogerilim bağlanma dayanımının (μTBS), yüzey pürüzlülüğünün (Ra) ve termal siklus yaşlandırma davranışının incelendiği doğrudan bir protetik/restoratif diş hekimliği ve dental materyal araştırmasıdır; çalışmada polimer sentezi veya makromoleküler polimer mühendisliği bulunmayıp hazır dental CAD/CAM bloklarının adeziv simantasyon performansı test edilmiştir. Modelin 'Polimer Bilimi' önerisi dental rezin/polimer terimlerinden kaynaklanan klasik bir model yanılgısıdır (FP-1). Mevcut 'Diş Hekimliği' ana disiplini tam, eksiksiz ve doğrudur."
