external_id,Manuel_label,baslik,mevcut_kategori,oneri_kategori,primary_role_source,secondary_role_source,non_focus_role_source,role_evidence,proposed_discipline_relation,confidence,is_boundary_case,competing_role_1,competing_role_2,boundary_rationale,Manuel_Gerekce
1392146,TP-2,UZAY MUHASEBESİNİ BEKLEYEN ZORLUKLARIN MUHASEBE VE DENETİM AÇISINDAN DEĞERLENDİRİLMESİ,"Coğrafya, İşletme","Mühendislik, Hava ve Uzay",RESEARCH_FOCUS,,0,"Metin/Gerekçe: Veritabanındaki ""Coğrafya"" etiketi tamamen hatalı; uzay ticareti ve muhasebesi üzerine melez çalışma.","Önerilen disiplin ('Mühendislik, Hava ve Uzay'), makalenin research_focus bileşeninden kaynaklanmaktadır.",HIGH,False,,,,"Veritabanındaki ""Coğrafya"" etiketi tamamen hatalı; uzay ticareti ve muhasebesi üzerine melez çalışma."
1406776,TP-2,İklim değişikliği karşısında hastane dayanıklılık stratejilerinin analizi: Bulanık AHS yaklaşımı,"İşletme, İşletme Finans",Halk ve Çevre Sağlığı,RESEARCH_FOCUS,CONTEXT,0,"Metin/Gerekçe: Sağlık yönetimi, afet dayanıklılığı ve çevre sağlığı stratejisi kesişimidir; İşletme yanına Halk ve Çevre Sağlığı eklenmelidir.","Önerilen disiplin ('Halk ve Çevre Sağlığı'), makalenin research_focus bileşeninden kaynaklanmaktadır.",MEDIUM,True,RESEARCH_FOCUS,CONTEXT,Sektörel/çevresel uygulama bağlamı çalışmanın odağını oluşturmaktadır (Context ↔ Research Focus).,"Sağlık yönetimi, afet dayanıklılığı ve çevre sağlığı stratejisi kesişimidir; İşletme yanına Halk ve Çevre Sağlığı eklenmelidir."
1366500,TP-1,Artificial Intelligence and Large Language Models: Editorial Reflections,Anestezi,"Bilgisayar Bilimleri, Yapay Zeka",RESEARCH_FOCUS,,0,Metin/Gerekçe: Yapay zekâ ve büyük dil modellerinin editöryal yansımalarının incelendiği bir Bilgisayar Bilimleri ve Yapay Zeka çalışmasıdır; veri tabanındaki 'Anestezi' etike,"Önerilen disiplin ('Bilgisayar Bilimleri, Yapay Zeka'), makalenin research_focus bileşeninden kaynaklanmaktadır.",HIGH,False,,,,"Yapay zekâ ve büyük dil modellerinin editöryal yansımalarının incelendiği bir Bilgisayar Bilimleri ve Yapay Zeka çalışmasıdır; veri tabanındaki 'Anestezi' etiketi sistemsel çöp veridir. Hatalı tıp etiketi tamamen temizlenerek doğrudan Bilgisayar Bilimleri, Yapay Zeka alanına taşınmalıdır (TP-1 tam düzeltme)."
1305500,TP-1,Turizm Sektöründe Çalışanlar Üzerine Yapılmış Lisansüstü Tezlerin Bibliyometrik Analizi (Bibliometric Analysis of Graduate Theses on Employees in the Tourism Sector),Nükleer Bilim ve Teknolojisi,"Otelcilik, Konaklama, Spor ve Turizm",RESEARCH_FOCUS,,0,Metin/Gerekçe: Doğrudan veri girişi hatasıdır; makale nükleer bilimle ilgisiz olup tamamen turizm/otelcilik alanına aittir.,"Önerilen disiplin ('Otelcilik, Konaklama, Spor ve Turizm'), makalenin research_focus bileşeninden kaynaklanmaktadır.",HIGH,False,,,,Doğrudan veri girişi hatasıdır; makale nükleer bilimle ilgisiz olup tamamen turizm/otelcilik alanına aittir.
1436146,FP,BİLGİ KURAMI BAĞLAMINDA KEHANET İLETİŞİMİ VE ASTROLOJİNİN SOSYAL MEDYADA YER ALIŞ BİÇİMLERİ,İletişim,Astronomi ve Astrofizik,LEXICAL_SURFACE,,0,"Metin/Gerekçe: Sosyal medyada astroloji hesaplarının içerik ve iletişim analizi yapılmıştır; ""gezegen/astroloji"" kelimeleri modeli Astronomiye yanıltmıştır (Mevcut İletişim et","Önerilen disiplin ('Astronomi ve Astrofizik'), makale metnindeki yüzeysel bir anahtar kelime veya ifadeden tetiklenmiştir.",HIGH,False,,,,"Sosyal medyada astroloji hesaplarının içerik ve iletişim analizi yapılmıştır; ""gezegen/astroloji"" kelimeleri modeli Astronomiye yanıltmıştır (Mevcut İletişim etiketi doğrudur)."
1402334,TP-2,Farklı Işık Dalga Boylarında Kürlenen Harçların Mekanik Özelliklerinin İncelenmesi,"İnşaat Mühendisliği, İnşaat ve Yapı Teknolojisi",Optik,METHOD,RESEARCH_FOCUS,1,Metin/Gerekçe: Farklı ışık dalga boylarında kürlenen inşaat harçlarının mekanik özelliklerinin incelendiği bir inşaat mühendisliği ve yapı malzemeleri araştırmasıdır; modelin ,"Önerilen disiplin ('Optik'), makalenin method bileşeninden kaynaklanmaktadır.",MEDIUM,True,METHOD,RESEARCH_FOCUS,Uygulanan hesaplamalı/istatistiksel yöntem (Optik) disiplinlerarası katkı sağlamaktadır (Method ↔ Research Focus).,Farklı ışık dalga boylarında kürlenen inşaat harçlarının mekanik özelliklerinin incelendiği bir inşaat mühendisliği ve yapı malzemeleri araştırmasıdır; modelin 'Optik' önerisi ışık dalga boyu ifadesinden kaynaklanan terim yanılgısıdır. Mevcut İnşaat Mühendisliği etiketinin yanına Malzeme Bilimleri alanı eklenmelidir (TP-2 melez çalışma).
1326736,TP-1,Limon servi (Cupressus Macrocarpa) odununun seçili özelliklerinin belirlenmesi ve diğer bazı ağaç türü odunları ile karşılaştırılması,Optik,Orman Mühendisliği,RESEARCH_FOCUS,MATERIAL_OBJECT,0,Metin/Gerekçe: Limon servi (Cupressus Macrocarpa) odununun anatomik ve fizyolojik özelliklerinin diğer ağaç türleriyle karşılaştırıldığı bir orman ürünleri ve orman mühendisli,"Önerilen disiplin ('Orman Mühendisliği'), makalenin research_focus bileşeninden kaynaklanmaktadır.",MEDIUM,True,RESEARCH_FOCUS,MATERIAL_OBJECT,Odun/fındık kabuğu/nanopartikül materyal karakterizasyonu çalışmanın esas araştırma odağıdır (Material ↔ Research Focus).,Limon servi (Cupressus Macrocarpa) odununun anatomik ve fizyolojik özelliklerinin diğer ağaç türleriyle karşılaştırıldığı bir orman ürünleri ve orman mühendisliği araştırmasıdır; veri tabanındaki 'Optik' etiketi sistemsel çöp veridir. Hatalı etiket tamamen silinerek Orman Mühendisliği alanı ile düzeltilmelidir (TP-1 tam düzeltme).
1406530,FP,AMBALAJ TASARIMINDA KARTON MAKET YAPIMININ ROLÜ VE BİR UYGULAMA,Sanat,"Malzeme Bilimleri, Kâğıt ve Ahşap",MATERIAL_OBJECT,LEXICAL_SURFACE,1,"Metin/Gerekçe: Ambalaj tasarımında karton maket prototipleme ve estetik-işlevsellik incelemesidir; ""karton/kâğıt"" kelimeleri modeli hatalı şekilde Kâğıt Malzeme Bilimleri alan","Önerilen disiplin ('Malzeme Bilimleri, Kâğıt ve Ahşap'), makalede incelenen nesne/malzeme/hammadde kaynaklıdır.",MEDIUM,True,MATERIAL_OBJECT,LEXICAL_SURFACE,Ambalaj tasarımındaki karton malzeme hem fiziksel prototip materyali hem de 'karton/kağıt' kelime tuzağıdır.,"Ambalaj tasarımında karton maket prototipleme ve estetik-işlevsellik incelemesidir; ""karton/kâğıt"" kelimeleri modeli hatalı şekilde Kâğıt Malzeme Bilimleri alanına yanıltmıştır (Grafik Tasarım/Sanat konusudur)."
1238171,TP-1,Increasing the Biomethane Yield of Hazelnut By-Products by Low Temperature Thermal Pretreatment,"Fizik, Katı Hal, Fizik, Partiküller ve Alanlar","Malzeme Bilimleri, Biyomalzemeler",RESEARCH_FOCUS,MATERIAL_OBJECT,0,Metin/Gerekçe: Fındık kabuğu lignoselülozik biyokütlesine düşük sıcaklıkta ısıl ön işlem uygulanarak anaerobik sindirimle biyometan/biyogaz eldesi veriminin artırılması ve Gom,"Önerilen disiplin ('Malzeme Bilimleri, Biyomalzemeler'), makalenin research_focus bileşeninden kaynaklanmaktadır.",MEDIUM,True,RESEARCH_FOCUS,MATERIAL_OBJECT,Odun/fındık kabuğu/nanopartikül materyal karakterizasyonu çalışmanın esas araştırma odağıdır (Material ↔ Research Focus).,"Fındık kabuğu lignoselülozik biyokütlesine düşük sıcaklıkta ısıl ön işlem uygulanarak anaerobik sindirimle biyometan/biyogaz eldesi veriminin artırılması ve Gompertz kinetik modellemesinin yapıldığı doğrudan bir biyoyakıt, biyoenerji ve biyokütle enerjisi araştırmasıdır; mevcut kategorideki 'Fizik, Katı Hal, Fizik, Partiküller ve Alanlar' etiketleri tamamen absürt sistemsel çöp veridir. Modelin 'Malzeme Bilimleri, Biyomalzemeler' önerisi biyokütle atığını implant/biyomalzeme sanan bir model yanılgısı olup k-NN yerel uzlaşısının tam isabetle belirlediği Enerji ve Yakıtlar ana disiplinine aktarılmalıdır (TP-1 kategori değişimi)."
1360548,TP-2,Naringeninin Lipozom Yöntemiyle Enkapsülasyonu ve Karakterizasyonu,"Malzeme Bilimleri, Biyomalzemeler",Endokrinoloji ve Metabolizma,RESEARCH_FOCUS,,0,"Metin/Gerekçe: Düşük biyoyararlanıma sahip naringeninin fosfatidilkolin ve kolesterol ile lipozomal nano-taşıyıcı enkapsülasyonunun geliştirildiği, partikül boyutu (207 nm), z","Önerilen disiplin ('Endokrinoloji ve Metabolizma'), makalenin research_focus bileşeninden kaynaklanmaktadır.",HIGH,False,,,,"Düşük biyoyararlanıma sahip naringeninin fosfatidilkolin ve kolesterol ile lipozomal nano-taşıyıcı enkapsülasyonunun geliştirildiği, partikül boyutu (207 nm), zeta potansiyeli, enkapsülasyon etkinliği (%94.6) ve in vitro salım kinetiğinin karakterize edildiği doğrudan bir farmasötik teknoloji, ilaç taşıyıcı sistemler ve nanobiyomalzeme araştırmasıdır; çalışmada in vivo metabolik/endokrin deneme bulunmayıp modelin 'Endokrinoloji ve Metabolizma' önerisi model yanılgısıdır (FP-1). Mevcut 'Malzeme Bilimleri, Biyomalzemeler' omurgası korunmalı ve k-NN yerel uzlaşısının tam isabetle belirlediği Farmakoloji ve Eczacılık alanı ikincil etiket olarak eklenmelidir (TP-2 melez çalışma)."
